,CH1
Second,Volt
-7.60000e-04,7.80e-01, 
-7.56000e-04,-2.20e-01, 
-7.52000e-04,-1.40e-01, 
-7.48000e-04,5.40e-01, 
-7.44000e-04,-1.60e-01, 
-7.40000e-04,3.60e-01, 
-7.36000e-04,-8.00e-02, 
-7.32000e-04,8.00e-02, 
-7.28000e-04,2.00e-01, 
-7.24000e-04,-8.00e-02, 
-7.20000e-04,1.40e-01, 
-7.16000e-04,-6.00e-02, 
-7.12000e-04,-8.00e-02, 
-7.08000e-04,2.00e-01, 
-7.04000e-04,-8.00e-02, 
-7.00000e-04,2.80e-01, 
-6.96000e-04,-1.40e-01, 
-6.92000e-04,6.00e-02, 
-6.88000e-04,4.80e-01, 
-6.84000e-04,-1.00e-01, 
-6.80000e-04,6.60e-01, 
-6.76000e-04,-2.20e-01, 
-6.72000e-04,-1.60e-01, 
-6.68000e-04,1.02e+00, 
-6.64000e-04,-2.80e-01, 
-6.60000e-04,1.30e+00, 
-6.56000e-04,-4.00e-01, 
-6.52000e-04,1.06e+00, 
-6.48000e-04,1.50e+00, 
-6.44000e-04,-4.80e-01, 
-6.40000e-04,1.76e+00, 
-6.36000e-04,-4.60e-01, 
-6.32000e-04,-2.80e-01, 
-6.28000e-04,1.84e+00, 
-6.24000e-04,-5.20e-01, 
-6.20000e-04,1.92e+00, 
-6.16000e-04,-5.20e-01, 
-6.12000e-04,1.54e+00, 
-6.08000e-04,1.92e+00, 
-6.04000e-04,-5.20e-01, 
-6.00000e-04,1.76e+00, 
-5.96000e-04,-4.80e-01, 
-5.92000e-04,-3.20e-01, 
-5.88000e-04,1.58e+00, 
-5.84000e-04,-4.80e-01, 
-5.80000e-04,1.34e+00, 
-5.76000e-04,7.60e-01, 
-5.72000e-04,-4.00e-01, 
-5.68000e-04,1.02e+00, 
-5.64000e-04,-3.60e-01, 
-5.60000e-04,7.80e-01, 
-5.56000e-04,-2.20e-01, 
-5.52000e-04,-6.00e-02, 
-5.48000e-04,5.00e-01, 
-5.44000e-04,-1.20e-01, 
-5.40000e-04,3.60e-01, 
-5.36000e-04,-1.60e-01, 
-5.32000e-04,1.00e-01, 
-5.28000e-04,2.00e-01, 
-5.24000e-04,-8.00e-02, 
-5.20000e-04,1.80e-01, 
-5.16000e-04,-8.00e-02, 
-5.12000e-04,-8.00e-02, 
-5.08000e-04,1.80e-01, 
-5.04000e-04,-8.00e-02, 
-5.00000e-04,2.80e-01, 
-4.96000e-04,1.00e-01, 
-4.92000e-04,-8.00e-02, 
-4.88000e-04,4.80e-01, 
-4.84000e-04,-1.60e-01, 
-4.80000e-04,7.00e-01, 
-4.76000e-04,-2.20e-01, 
-4.72000e-04,-1.40e-01, 
-4.68000e-04,9.80e-01, 
-4.64000e-04,-4.00e-01, 
-4.60000e-04,1.24e+00, 
-4.56000e-04,-4.40e-01, 
-4.52000e-04,1.06e+00, 
-4.48000e-04,1.52e+00, 
-4.44000e-04,-4.40e-01, 
-4.40000e-04,1.76e+00, 
-4.36000e-04,-5.20e-01, 
-4.32000e-04,-3.40e-01, 
-4.28000e-04,1.80e+00, 
-4.24000e-04,-5.20e-01, 
-4.20000e-04,1.96e+00, 
-4.16000e-04,-5.20e-01, 
-4.12000e-04,1.56e+00, 
-4.08000e-04,1.92e+00, 
-4.04000e-04,-6.00e-01, 
-4.00000e-04,1.82e+00, 
-3.96000e-04,-5.40e-01, 
-3.92000e-04,-3.20e-01, 
-3.88000e-04,1.56e+00, 
-3.84000e-04,-4.60e-01, 
-3.80000e-04,1.34e+00, 
-3.76000e-04,7.80e-01, 
-3.72000e-04,-4.20e-01, 
-3.68000e-04,1.06e+00, 
-3.64000e-04,-3.40e-01, 
-3.60000e-04,7.60e-01, 
-3.56000e-04,-2.20e-01, 
-3.52000e-04,-1.00e-01, 
-3.48000e-04,5.40e-01, 
-3.44000e-04,-1.60e-01, 
-3.40000e-04,3.40e-01, 
-3.36000e-04,8.00e-02, 
-3.32000e-04,-8.00e-02, 
-3.28000e-04,2.20e-01, 
-3.24000e-04,-1.00e-01, 
-3.20000e-04,1.40e-01, 
-3.16000e-04,-8.00e-02, 
-3.12000e-04,-8.00e-02, 
-3.08000e-04,2.20e-01, 
-3.04000e-04,-8.00e-02, 
-3.00000e-04,2.80e-01, 
-2.96000e-04,8.00e-02, 
-2.92000e-04,-1.00e-01, 
-2.88000e-04,5.20e-01, 
-2.84000e-04,-1.60e-01, 
-2.80000e-04,7.00e-01, 
-2.76000e-04,-2.40e-01, 
-2.72000e-04,9.80e-01, 
-2.68000e-04,-1.60e-01, 
-2.64000e-04,-3.00e-01, 
-2.60000e-04,1.28e+00, 
-2.56000e-04,-3.60e-01, 
-2.52000e-04,1.10e+00, 
-2.48000e-04,1.50e+00, 
-2.44000e-04,-4.40e-01, 
-2.40000e-04,1.74e+00, 
-2.36000e-04,-4.40e-01, 
-2.32000e-04,-3.20e-01, 
-2.28000e-04,1.92e+00, 
-2.24000e-04,-5.40e-01, 
-2.20000e-04,1.94e+00, 
-2.16000e-04,-6.00e-01, 
-2.12000e-04,1.54e+00, 
-2.08000e-04,1.90e+00, 
-2.04000e-04,-5.20e-01, 
-2.00000e-04,1.78e+00, 
-1.96000e-04,-6.20e-01, 
-1.92000e-04,-3.40e-01, 
-1.88000e-04,1.56e+00, 
-1.84000e-04,-4.20e-01, 
-1.80000e-04,1.42e+00, 
-1.76000e-04,8.40e-01, 
-1.72000e-04,-4.40e-01, 
-1.68000e-04,1.04e+00, 
-1.64000e-04,-3.00e-01, 
-1.60000e-04,8.20e-01, 
-1.56000e-04,-2.40e-01, 
-1.52000e-04,-1.00e-01, 
-1.48000e-04,5.60e-01, 
-1.44000e-04,-1.60e-01, 
-1.40000e-04,4.00e-01, 
-1.36000e-04,1.20e-01, 
-1.32000e-04,-8.00e-02, 
-1.28000e-04,2.20e-01, 
-1.24000e-04,-1.00e-01, 
-1.20000e-04,2.00e-01, 
-1.16000e-04,-8.00e-02, 
-1.12000e-04,-4.00e-02, 
-1.08000e-04,2.60e-01, 
-1.04000e-04,-1.00e-01, 
-1.00000e-04,2.80e-01, 
-9.60000e-05,4.00e-02, 
-9.20000e-05,-1.00e-01, 
-8.80000e-05,5.00e-01, 
-8.40000e-05,-8.00e-02, 
-8.00000e-05,7.00e-01, 
-7.60000e-05,-2.20e-01, 
-7.20000e-05,-1.60e-01, 
-6.80000e-05,1.02e+00, 
-6.40000e-05,-3.20e-01, 
-6.00000e-05,1.30e+00, 
-5.60000e-05,-3.80e-01, 
-5.20000e-05,1.12e+00, 
-4.80000e-05,1.54e+00, 
-4.40000e-05,-4.40e-01, 
-4.00000e-05,1.68e+00, 
-3.60000e-05,-5.20e-01, 
-3.20000e-05,-3.40e-01, 
-2.80000e-05,1.84e+00, 
-2.40000e-05,-5.20e-01, 
-2.00000e-05,1.94e+00, 
-1.60000e-05,-5.60e-01, 
-1.20000e-05,1.56e+00, 
-8.00000e-06,1.90e+00, 
-4.00000e-06,-5.80e-01, 
-0.00000e+00,1.80e+00, 
4.00000e-06,-5.20e-01, 
8.00000e-06,-2.60e-01, 
1.20000e-05,1.58e+00, 
1.60000e-05,-4.40e-01, 
2.00000e-05,1.26e+00, 
2.40000e-05,7.60e-01, 
2.80000e-05,-4.40e-01, 
3.20000e-05,1.04e+00, 
3.60000e-05,-3.20e-01, 
4.00000e-05,7.80e-01, 
4.40000e-05,-2.20e-01, 
4.80000e-05,-8.00e-02, 
5.20000e-05,5.20e-01, 
5.60000e-05,-1.40e-01, 
6.00000e-05,3.00e-01, 
6.40000e-05,6.00e-02, 
6.80000e-05,-8.00e-02, 
7.20000e-05,2.00e-01, 
7.60000e-05,-1.00e-01, 
8.00000e-05,1.60e-01, 
8.40000e-05,-8.00e-02, 
8.80000e-05,-8.00e-02, 
9.20000e-05,2.20e-01, 
9.60000e-05,-1.00e-01, 
1.00000e-04,3.60e-01, 
1.04000e-04,8.00e-02, 
1.08000e-04,-8.00e-02, 
1.12000e-04,4.80e-01, 
1.16000e-04,-1.60e-01, 
1.20000e-04,7.20e-01, 
1.24000e-04,-2.00e-01, 
1.28000e-04,-1.60e-01, 
1.32000e-04,9.80e-01, 
1.36000e-04,-3.40e-01, 
1.40000e-04,1.26e+00, 
1.44000e-04,-3.80e-01, 
1.48000e-04,1.14e+00, 
1.52000e-04,1.54e+00, 
1.56000e-04,-4.60e-01, 
1.60000e-04,1.70e+00, 
1.64000e-04,-5.20e-01, 
1.68000e-04,-3.20e-01, 
1.72000e-04,1.78e+00, 
1.76000e-04,-5.40e-01, 
1.80000e-04,1.94e+00, 
1.84000e-04,-5.20e-01, 
1.88000e-04,1.56e+00, 
1.92000e-04,1.90e+00, 
1.96000e-04,-5.60e-01, 
2.00000e-04,1.76e+00, 
2.04000e-04,-5.40e-01, 
2.08000e-04,-3.60e-01, 
2.12000e-04,1.60e+00, 
2.16000e-04,-4.40e-01, 
2.20000e-04,1.36e+00, 
2.24000e-04,7.80e-01, 
2.28000e-04,-3.60e-01, 
2.32000e-04,1.02e+00, 
2.36000e-04,-3.40e-01, 
2.40000e-04,7.80e-01, 
2.44000e-04,-2.20e-01, 
2.48000e-04,-8.00e-02, 
2.52000e-04,5.60e-01, 
2.56000e-04,-1.20e-01, 
2.60000e-04,3.00e-01, 
2.64000e-04,1.00e-01, 
2.68000e-04,-8.00e-02, 
2.72000e-04,2.00e-01, 
2.76000e-04,-8.00e-02, 
2.80000e-04,1.80e-01, 
2.84000e-04,-6.00e-02, 
2.88000e-04,-6.00e-02, 
2.92000e-04,2.40e-01, 
2.96000e-04,-8.00e-02, 
3.00000e-04,2.80e-01, 
3.04000e-04,6.00e-02, 
3.08000e-04,-8.00e-02, 
3.12000e-04,4.80e-01, 
3.16000e-04,-1.60e-01, 
3.20000e-04,7.00e-01, 
3.24000e-04,-1.80e-01, 
3.28000e-04,-1.60e-01, 
3.32000e-04,1.04e+00, 
3.36000e-04,-3.00e-01, 
3.40000e-04,1.26e+00, 
3.44000e-04,-4.40e-01, 
3.48000e-04,1.04e+00, 
3.52000e-04,1.48e+00, 
3.56000e-04,-4.60e-01, 
3.60000e-04,1.76e+00, 
3.64000e-04,-4.80e-01, 
3.68000e-04,-3.00e-01, 
3.72000e-04,1.88e+00, 
3.76000e-04,-5.80e-01, 
3.80000e-04,1.92e+00, 
3.84000e-04,-5.40e-01, 
3.88000e-04,1.54e+00, 
3.92000e-04,1.88e+00, 
3.96000e-04,-5.80e-01, 
4.00000e-04,1.78e+00, 
4.04000e-04,-5.20e-01, 
4.08000e-04,-3.00e-01, 
4.12000e-04,1.56e+00, 
4.16000e-04,-4.60e-01, 
4.20000e-04,1.34e+00, 
4.24000e-04,7.80e-01, 
4.28000e-04,-3.40e-01, 
4.32000e-04,1.08e+00, 
4.36000e-04,-3.20e-01, 
4.40000e-04,7.80e-01, 
4.44000e-04,-2.40e-01, 
4.48000e-04,-8.00e-02, 
4.52000e-04,5.20e-01, 
4.56000e-04,-1.40e-01, 
4.60000e-04,3.40e-01, 
4.64000e-04,8.00e-02, 
4.68000e-04,-8.00e-02, 
4.72000e-04,2.00e-01, 
4.76000e-04,-8.00e-02, 
4.80000e-04,2.00e-01, 
4.84000e-04,-6.00e-02, 
4.88000e-04,-8.00e-02, 
4.92000e-04,2.00e-01, 
4.96000e-04,-8.00e-02, 
5.00000e-04,2.80e-01, 
5.04000e-04,6.00e-02, 
5.08000e-04,-8.00e-02, 
5.12000e-04,4.80e-01, 
5.16000e-04,-1.20e-01, 
5.20000e-04,7.00e-01, 
5.24000e-04,-2.80e-01, 
5.28000e-04,-1.80e-01, 
5.32000e-04,9.80e-01, 
5.36000e-04,-2.80e-01, 
5.40000e-04,1.28e+00, 
5.44000e-04,-4.00e-01, 
5.48000e-04,1.08e+00, 
5.52000e-04,1.48e+00, 
5.56000e-04,-4.40e-01, 
5.60000e-04,1.76e+00, 
5.64000e-04,-4.60e-01, 
5.68000e-04,-3.20e-01, 
5.72000e-04,1.84e+00, 
5.76000e-04,-5.20e-01, 
5.80000e-04,1.92e+00, 
5.84000e-04,-5.20e-01, 
5.88000e-04,1.62e+00, 
5.92000e-04,1.92e+00, 
5.96000e-04,-5.20e-01, 
6.00000e-04,1.80e+00, 
6.04000e-04,-5.40e-01, 
6.08000e-04,-3.20e-01, 
6.12000e-04,1.56e+00, 
6.16000e-04,-4.40e-01, 
6.20000e-04,1.34e+00, 
6.24000e-04,7.40e-01, 
6.28000e-04,-4.20e-01, 
6.32000e-04,1.06e+00, 
6.36000e-04,-3.00e-01, 
6.40000e-04,8.00e-01, 
6.44000e-04,-2.40e-01, 
6.48000e-04,-1.20e-01, 
6.52000e-04,4.80e-01, 
6.56000e-04,-1.40e-01, 
6.60000e-04,3.80e-01, 
6.64000e-04,1.00e-01, 
6.68000e-04,-4.00e-02, 
6.72000e-04,2.20e-01, 
6.76000e-04,-1.20e-01, 
6.80000e-04,1.40e-01, 
6.84000e-04,-6.00e-02, 
6.88000e-04,-2.00e-02, 
6.92000e-04,2.20e-01, 
6.96000e-04,-8.00e-02, 
7.00000e-04,2.80e-01, 
7.04000e-04,6.00e-02, 
7.08000e-04,-1.20e-01, 
7.12000e-04,5.20e-01, 
7.16000e-04,-1.40e-01, 
7.20000e-04,7.00e-01, 
7.24000e-04,-2.60e-01, 
7.28000e-04,-1.80e-01, 
7.32000e-04,1.00e+00, 
7.36000e-04,-2.60e-01, 
7.40000e-04,1.28e+00, 
7.44000e-04,-4.40e-01, 
7.48000e-04,1.08e+00, 
7.52000e-04,1.50e+00, 
7.56000e-04,-4.40e-01, 
7.60000e-04,1.82e+00, 
7.64000e-04,-5.20e-01, 
7.68000e-04,-3.00e-01, 
7.72000e-04,1.84e+00, 
7.76000e-04,-5.80e-01, 
7.80000e-04,1.96e+00, 
7.84000e-04,-5.20e-01, 
7.88000e-04,1.56e+00, 
7.92000e-04,1.88e+00, 
7.96000e-04,-5.60e-01, 
8.00000e-04,1.80e+00, 
8.04000e-04,-5.20e-01, 
8.08000e-04,-3.00e-01, 
8.12000e-04,1.62e+00, 
8.16000e-04,-4.60e-01, 
8.20000e-04,1.34e+00, 
8.24000e-04,7.60e-01, 
8.28000e-04,-4.40e-01, 
8.32000e-04,1.06e+00, 
8.36000e-04,-2.60e-01, 
8.40000e-04,7.80e-01, 
8.44000e-04,-2.80e-01, 
8.48000e-04,-1.20e-01, 
8.52000e-04,4.60e-01, 
8.56000e-04,-1.60e-01, 
8.60000e-04,3.80e-01, 
8.64000e-04,6.00e-02, 
8.68000e-04,-6.00e-02, 
8.72000e-04,1.60e-01, 
8.76000e-04,-1.20e-01, 
8.80000e-04,-2.00e-02, 
8.84000e-04,1.40e-01, 
8.88000e-04,-4.00e-02, 
8.92000e-04,2.40e-01, 
8.96000e-04,-8.00e-02, 
9.00000e-04,2.80e-01, 
9.04000e-04,6.00e-02, 
9.08000e-04,-1.20e-01, 
9.12000e-04,4.40e-01, 
9.16000e-04,-2.00e-01, 
9.20000e-04,7.20e-01, 
9.24000e-04,-1.80e-01, 
9.28000e-04,1.14e+00, 
9.32000e-04,-1.20e-01, 
9.36000e-04,-3.00e-01, 
9.40000e-04,1.24e+00, 
9.44000e-04,-4.40e-01, 
9.48000e-04,1.14e+00, 
9.52000e-04,1.52e+00, 
9.56000e-04,-4.40e-01, 
9.60000e-04,1.76e+00, 
9.64000e-04,-5.20e-01, 
9.68000e-04,-3.60e-01, 
9.72000e-04,1.84e+00, 
9.76000e-04,-5.40e-01, 
9.80000e-04,1.98e+00, 
9.84000e-04,-5.20e-01, 
9.88000e-04,1.56e+00, 
9.92000e-04,1.90e+00, 
9.96000e-04,-5.60e-01, 
1.00000e-03,1.76e+00, 
1.00400e-03,-5.20e-01, 
1.00800e-03,-3.20e-01, 
1.01200e-03,1.58e+00, 
1.01600e-03,-4.80e-01, 
1.02000e-03,1.24e+00, 
1.02400e-03,-4.20e-01, 
1.02800e-03,8.00e-01, 
1.03200e-03,1.08e+00, 
1.03600e-03,-3.00e-01, 
1.04000e-03,7.20e-01, 
1.04400e-03,-3.00e-01, 
1.04800e-03,-1.20e-01, 
1.05200e-03,5.20e-01, 
1.05600e-03,-8.00e-02, 
1.06000e-03,3.40e-01, 
1.06400e-03,6.00e-02, 
1.06800e-03,-1.40e-01, 
1.07200e-03,2.00e-01, 
1.07600e-03,-1.20e-01, 
1.08000e-03,2.00e-01, 
1.08400e-03,-4.00e-02, 
1.08800e-03,-2.00e-02, 
1.09200e-03,1.80e-01, 
1.09600e-03,-8.00e-02, 
1.10000e-03,2.60e-01, 
1.10400e-03,1.20e-01, 
1.10800e-03,-1.60e-01, 
1.11200e-03,4.80e-01, 
1.11600e-03,-1.40e-01, 
1.12000e-03,8.20e-01, 
1.12400e-03,-2.00e-01, 
1.12800e-03,9.00e-01, 
1.13200e-03,-1.80e-01, 
1.13600e-03,-3.40e-01, 
1.14000e-03,1.28e+00, 
1.14400e-03,-3.60e-01, 
1.14800e-03,1.14e+00, 
1.15200e-03,1.56e+00, 
1.15600e-03,-4.40e-01, 
1.16000e-03,1.72e+00, 
1.16400e-03,-5.60e-01, 
1.16800e-03,-3.60e-01, 
1.17200e-03,1.84e+00, 
1.17600e-03,-5.20e-01, 
1.18000e-03,1.98e+00, 
1.18400e-03,-5.20e-01, 
1.18800e-03,1.60e+00, 
1.19200e-03,1.88e+00, 
1.19600e-03,-5.40e-01, 
1.20000e-03,1.90e+00, 
1.20400e-03,-5.20e-01, 
1.20800e-03,-2.60e-01, 
1.21200e-03,1.54e+00, 
1.21600e-03,-5.20e-01, 
1.22000e-03,1.40e+00, 
1.22400e-03,8.00e-01, 
1.22800e-03,-3.20e-01, 
1.23200e-03,1.06e+00, 
1.23600e-03,-3.40e-01, 
1.24000e-03,8.00e-01, 
1.24400e-03,-2.80e-01, 
1.24800e-03,-1.00e-01, 
1.25200e-03,5.20e-01, 
1.25600e-03,-1.20e-01, 
1.26000e-03,3.40e-01, 
1.26400e-03,6.00e-02, 
1.26800e-03,-6.00e-02, 
1.27200e-03,2.00e-01, 
1.27600e-03,-1.00e-01, 
1.28000e-03,1.80e-01, 
1.28400e-03,-6.00e-02, 
1.28800e-03,-8.00e-02, 
1.29200e-03,2.00e-01, 
1.29600e-03,-2.00e-02, 
1.30000e-03,2.40e-01, 
1.30400e-03,6.00e-02, 
1.30800e-03,-1.60e-01, 
1.31200e-03,5.00e-01, 
1.31600e-03,-1.20e-01, 
1.32000e-03,7.80e-01, 
1.32400e-03,-2.20e-01, 
1.32800e-03,9.60e-01, 
1.33200e-03,-2.00e-01, 
1.33600e-03,-3.40e-01, 
1.34000e-03,1.28e+00, 
1.34400e-03,-3.00e-01, 
1.34800e-03,1.00e+00, 
1.35200e-03,1.48e+00, 
1.35600e-03,-5.20e-01, 
1.36000e-03,1.72e+00, 
1.36400e-03,-4.60e-01, 
1.36800e-03,-2.60e-01, 
1.37200e-03,1.92e+00, 
1.37600e-03,-5.60e-01, 
1.38000e-03,1.90e+00, 
1.38400e-03,-5.20e-01, 
1.38800e-03,1.60e+00, 
1.39200e-03,1.92e+00, 
1.39600e-03,-5.20e-01, 
1.40000e-03,1.76e+00, 
1.40400e-03,-6.00e-01, 
1.40800e-03,-3.20e-01, 
1.41200e-03,1.56e+00, 
1.41600e-03,-4.80e-01, 
1.42000e-03,1.42e+00, 
1.42400e-03,7.80e-01, 
1.42800e-03,-3.80e-01, 
1.43200e-03,1.04e+00, 
1.43600e-03,-3.40e-01, 
1.44000e-03,7.80e-01, 
1.44400e-03,-2.20e-01, 
1.44800e-03,-8.00e-02, 
1.45200e-03,5.60e-01, 
1.45600e-03,-8.00e-02, 
1.46000e-03,3.40e-01, 
1.46400e-03,6.00e-02, 
1.46800e-03,-8.00e-02, 
1.47200e-03,2.00e-01, 
1.47600e-03,-1.00e-01, 
1.48000e-03,-4.00e-02, 
1.48400e-03,2.20e-01, 
1.48800e-03,0.00e+00, 
1.49200e-03,2.00e-01, 
1.49600e-03,-8.00e-02, 
1.50000e-03,2.20e-01, 
1.50400e-03,6.00e-02, 
1.50800e-03,-1.40e-01, 
1.51200e-03,5.20e-01, 
1.51600e-03,-1.00e-01, 
1.52000e-03,7.40e-01, 
1.52400e-03,-2.60e-01, 
1.52800e-03,-1.80e-01, 
1.53200e-03,1.00e+00, 
1.53600e-03,-3.00e-01, 
1.54000e-03,1.30e+00, 
1.54400e-03,-4.40e-01, 
1.54800e-03,1.12e+00, 
1.55200e-03,1.48e+00, 
1.55600e-03,-4.80e-01, 
1.56000e-03,1.78e+00, 
1.56400e-03,-4.40e-01, 
1.56800e-03,-3.40e-01, 
1.57200e-03,1.78e+00, 
1.57600e-03,-5.40e-01, 
1.58000e-03,1.92e+00, 
1.58400e-03,-5.20e-01, 
1.58800e-03,1.68e+00, 
1.59200e-03,1.92e+00, 
1.59600e-03,-5.80e-01, 
1.60000e-03,1.80e+00, 
1.60400e-03,-5.20e-01, 
1.60800e-03,-3.00e-01, 
1.61200e-03,1.60e+00, 
1.61600e-03,-5.20e-01, 
1.62000e-03,1.30e+00, 
1.62400e-03,7.40e-01, 
1.62800e-03,-3.60e-01, 
1.63200e-03,1.06e+00, 
1.63600e-03,-3.40e-01, 
